x,y,z
200728.50,629933.50,29.43
200683.50,629932.50,28.16
200684.50,629932.50,28.20
200685.50,629932.50,28.25
200686.50,629932.50,28.27
200687.50,629932.50,28.35
200701.50,629932.50,27.20
200705.50,629932.50,28.67
200706.50,629932.50,29.17
200707.50,629932.50,29.36
200710.50,629932.50,29.60
200711.50,629932.50,37.86
200712.50,629932.50,29.52
200713.50,629932.50,29.49
200714.50,629932.50,30.13
200715.50,629932.50,31.65
200722.50,629932.50,29.21
200723.50,629932.50,29.20
200724.50,629932.50,29.20
200725.50,629932.50,29.24
200726.50,629932.50,29.19
200727.50,629932.50,29.25
200728.50,629932.50,29.46
200683.50,629931.50,28.15
200684.50,629931.50,28.20
200685.50,629931.50,28.22
200686.50,629931.50,29.26
200689.50,629931.50,28.37
200699.50,629931.50,28.71
200700.50,629931.50,28.91
200702.50,629931.50,28.72
200703.50,629931.50,28.92
200706.50,629931.50,28.92
200709.50,629931.50,29.67
200711.50,629931.50,29.56
200713.50,629931.50,29.26
200714.50,629931.50,29.79
200715.50,629931.50,30.07
200722.50,629931.50,29.23
200723.50,629931.50,29.28
200724.50,629931.50,29.21
200725.50,629931.50,29.38
200726.50,629931.50,29.75
200727.50,629931.50,29.29
200728.50,629931.50,30.33
200729.50,629931.50,31.51
200730.50,629931.50,30.74
200731.50,629931.50,30.75
200683.50,629930.50,28.94
200684.50,629930.50,29.05
200685.50,629930.50,29.09
200686.50,629930.50,28.31
200689.50,629930.50,28.33
200690.50,629930.50,28.37
200691.50,629930.50,28.46
200693.50,629930.50,28.60
200694.50,629930.50,28.64
200706.50,629930.50,28.53
200708.50,629930.50,29.53
200709.50,629930.50,29.19
200710.50,629930.50,29.31
200711.50,629930.50,29.54
200712.50,629930.50,29.59
200713.50,629930.50,29.53
200714.50,629930.50,29.76
200715.50,629930.50,29.85
200716.50,629930.50,31.43
200717.50,629930.50,33.43
200718.50,629930.50,33.09
200725.50,629930.50,29.26
200731.50,629930.50,30.57
200683.50,629929.50,28.01
200684.50,629929.50,28.16
200686.50,629929.50,28.23
200691.50,629929.50,28.33
200692.50,629929.50,28.52
200693.50,629929.50,28.52
200694.50,629929.50,28.52
200697.50,629929.50,33.60
200704.50,629929.50,29.00
200705.50,629929.50,28.90
200706.50,629929.50,28.82
200708.50,629929.50,29.41
200710.50,629929.50,29.32
200711.50,629929.50,29.47
200712.50,629929.50,29.34
200713.50,629929.50,29.30
200714.50,629929.50,29.63
200715.50,629929.50,29.75
200717.50,629929.50,33.55
200718.50,629929.50,33.57
200721.50,629929.50,29.28
200686.50,629928.50,29.36
200691.50,629928.50,29.18
200692.50,629928.50,28.47
200693.50,629928.50,28.78
200697.50,629928.50,28.82
200698.50,629928.50,29.04
200702.50,629928.50,29.12
200703.50,629928.50,28.86
200704.50,629928.50,28.98
200705.50,629928.50,28.97
200706.50,629928.50,28.81
200707.50,629928.50,29.21
200708.50,629928.50,29.33
200711.50,629928.50,29.56
200712.50,629928.50,29.62
200713.50,629928.50,29.58
200714.50,629928.50,29.59
200717.50,629928.50,33.22
200718.50,629928.50,33.67
200721.50,629928.50,29.33
200722.50,629928.50,29.29
200723.50,629928.50,29.21
200728.50,629928.50,32.83
200695.50,629927.50,35.99
200697.50,629927.50,28.65
200698.50,629927.50,28.80
200699.50,629927.50,28.61
200700.50,629927.50,29.00
200701.50,629927.50,28.84
200702.50,629927.50,28.72
200703.50,629927.50,28.91
200704.50,629927.50,28.95
200705.50,629927.50,26.76
200706.50,629927.50,28.88
200711.50,629927.50,29.74
200712.50,629927.50,29.56
200713.50,629927.50,29.34
200715.50,629927.50,32.74
200722.50,629927.50,29.05
200723.50,629927.50,29.08
200685.50,629926.50,28.05
200686.50,629926.50,28.99
200687.50,629926.50,28.93
200688.50,629926.50,28.41
200691.50,629926.50,29.39
200697.50,629926.50,28.81
200698.50,629926.50,28.89
200699.50,629926.50,28.55
200700.50,629926.50,28.98
200701.50,629926.50,28.51
200702.50,629926.50,28.83
200703.50,629926.50,28.73
200704.50,629926.50,29.04
200705.50,629926.50,29.07
200706.50,629926.50,29.02
200707.50,629926.50,29.28
200710.50,629926.50,29.88
200711.50,629926.50,29.69
200712.50,629926.50,29.58
200713.50,629926.50,29.53
200716.50,629926.50,34.41
200717.50,629926.50,34.00
200718.50,629926.50,34.10
200719.50,629926.50,33.80
200680.50,629925.50,27.90
200683.50,629925.50,28.15
200684.50,629925.50,28.18
200686.50,629925.50,28.92
200687.50,629925.50,29.12
200689.50,629925.50,28.51
200692.50,629925.50,29.39
200693.50,629925.50,28.89
200697.50,629925.50,29.20
200698.50,629925.50,28.89
200701.50,629925.50,28.82
200702.50,629925.50,28.84
200703.50,629925.50,28.93
200704.50,629925.50,28.92
200706.50,629925.50,29.03
200712.50,629925.50,30.40
200715.50,629925.50,32.67
200716.50,629925.50,33.22
200717.50,629925.50,34.59
200718.50,629925.50,34.62
200670.50,629924.50,27.51
200671.50,629924.50,27.40
200672.50,629924.50,27.55
200677.50,629924.50,29.03
200678.50,629924.50,28.73
200679.50,629924.50,27.92
200680.50,629924.50,27.93
200681.50,629924.50,27.95
200682.50,629924.50,29.36
200695.50,629924.50,28.78
200696.50,629924.50,28.70
200697.50,629924.50,28.72
200698.50,629924.50,28.78
200699.50,629924.50,28.39
200700.50,629924.50,29.31
200701.50,629924.50,28.71
200702.50,629924.50,28.81
200703.50,629924.50,28.85
200704.50,629924.50,29.10
200714.50,629924.50,32.86
200715.50,629924.50,32.95
200716.50,629924.50,33.10
200717.50,629924.50,33.93
200718.50,629924.50,34.39
200719.50,629924.50,33.05
200670.50,629923.50,27.44
200671.50,629923.50,27.52
200672.50,629923.50,27.61
200677.50,629923.50,28.84
200678.50,629923.50,28.80
200679.50,629923.50,27.86
200680.50,629923.50,27.90
200695.50,629923.50,28.71
200696.50,629923.50,28.74
200697.50,629923.50,28.67
200698.50,629923.50,28.74
200699.50,629923.50,29.04
200702.50,629923.50,29.00
200703.50,629923.50,28.81
200704.50,629923.50,28.76
200705.50,629923.50,34.33
200708.50,629923.50,36.42
200710.50,629923.50,33.95
200711.50,629923.50,33.18
200712.50,629923.50,33.30
200713.50,629923.50,33.30
200714.50,629923.50,33.70
200715.50,629923.50,33.45
200716.50,629923.50,34.01
200717.50,629923.50,34.11
200729.50,629923.50,38.35
200669.50,629922.50,27.41
200670.50,629922.50,27.47
200671.50,629922.50,27.46
200696.50,629922.50,28.80
200697.50,629922.50,28.86
200698.50,629922.50,28.83
200703.50,629922.50,28.96
200705.50,629922.50,34.09
200706.50,629922.50,34.78
200707.50,629922.50,34.95
200708.50,629922.50,36.71
200710.50,629922.50,34.45
200711.50,629922.50,33.90
200713.50,629922.50,33.88
200714.50,629922.50,33.62
200715.50,629922.50,33.22
200716.50,629922.50,33.87
200717.50,629922.50,32.74
200718.50,629922.50,33.25
200728.50,629922.50,35.56
200729.50,629922.50,35.72
200669.50,629921.50,27.40
200671.50,629921.50,27.50
200680.50,629921.50,27.93
200706.50,629921.50,34.72
200707.50,629921.50,34.64
200708.50,629921.50,35.27
200709.50,629921.50,34.05
200711.50,629921.50,34.19
200712.50,629921.50,34.00
200715.50,629921.50,33.37
200716.50,629921.50,33.14
200726.50,629921.50,34.99
200728.50,629921.50,35.84
200729.50,629921.50,35.66
200730.50,629921.50,36.20
200731.50,629921.50,37.37
200691.50,629920.50,36.84
200692.50,629920.50,37.53
200697.50,629920.50,33.20
200701.50,629920.50,35.36
200707.50,629920.50,36.28
200708.50,629920.50,35.68
200711.50,629920.50,34.37
200712.50,629920.50,29.53
200713.50,629920.50,31.08
200714.50,629920.50,32.08
200715.50,629920.50,32.04
200722.50,629920.50,33.88
200723.50,629920.50,34.48
200725.50,629920.50,35.51
200727.50,629920.50,35.62
200728.50,629920.50,35.60
200729.50,629920.50,44.79
200730.50,629920.50,37.73
200680.50,629919.50,27.98
200685.50,629919.50,35.27
200691.50,629919.50,36.87
200693.50,629919.50,37.92
200701.50,629919.50,35.93
200703.50,629919.50,36.42
200715.50,629919.50,29.79
200724.50,629919.50,36.50
200726.50,629919.50,35.57
200727.50,629919.50,35.52
200728.50,629919.50,35.99
200729.50,629919.50,36.31
200730.50,629919.50,37.95
200731.50,629919.50,39.04
200685.50,629918.50,35.68
200689.50,629918.50,38.57
200692.50,629918.50,38.13
200693.50,629918.50,37.94
200701.50,629918.50,36.51
200703.50,629918.50,37.60
200721.50,629918.50,36.77
200723.50,629918.50,36.37
200724.50,629918.50,37.29
200727.50,629918.50,35.92
200728.50,629918.50,35.88
200729.50,629918.50,35.64
200730.50,629918.50,35.39
200731.50,629918.50,36.61
200732.50,629918.50,38.34
200735.50,629918.50,29.95
200757.50,629918.50,30.12
200682.50,629917.50,35.99
200685.50,629917.50,35.01
200687.50,629917.50,38.83
200690.50,629917.50,39.56
200691.50,629917.50,38.73
200692.50,629917.50,38.14
200693.50,629917.50,38.65
200713.50,629917.50,29.20
200722.50,629917.50,35.99
200723.50,629917.50,36.60
200724.50,629917.50,36.46
200725.50,629917.50,36.98
200728.50,629917.50,36.14
200730.50,629917.50,34.65
200731.50,629917.50,38.72
200732.50,629917.50,30.14
200734.50,629917.50,29.94
200735.50,629917.50,30.09
200736.50,629917.50,30.01
200685.50,629916.50,36.32
200686.50,629916.50,36.87
200687.50,629916.50,39.32
200688.50,629916.50,38.57
200689.50,629916.50,38.62
200690.50,629916.50,38.43
200691.50,629916.50,38.96
200692.50,629916.50,37.49
200698.50,629916.50,44.03
200704.50,629916.50,37.53
200711.50,629916.50,44.26
200712.50,629916.50,38.70
200716.50,629916.50,39.69
200719.50,629916.50,40.53
200723.50,629916.50,36.45
200724.50,629916.50,36.57
200725.50,629916.50,36.20
200726.50,629916.50,35.88
200728.50,629916.50,33.34
200729.50,629916.50,34.73
200730.50,629916.50,33.66
200732.50,629916.50,29.98
200734.50,629916.50,29.84
200735.50,629916.50,29.94
200744.50,629916.50,30.02
200745.50,629916.50,31.27
200746.50,629916.50,30.78
200676.50,629915.50,34.71
200682.50,629915.50,28.34
200683.50,629915.50,28.97
200687.50,629915.50,37.83
200688.50,629915.50,37.75
200689.50,629915.50,37.98
200691.50,629915.50,37.47
200692.50,629915.50,38.65
200694.50,629915.50,28.88
200695.50,629915.50,42.11
200697.50,629915.50,44.15
200698.50,629915.50,44.22
200704.50,629915.50,37.75
200706.50,629915.50,40.88
200707.50,629915.50,40.84
200708.50,629915.50,41.46
200720.50,629915.50,37.80
200722.50,629915.50,36.14
200723.50,629915.50,35.97
200724.50,629915.50,36.17
200725.50,629915.50,36.37
200728.50,629915.50,32.38
200742.50,629915.50,38.20
200747.50,629915.50,29.97
200757.50,629915.50,30.10
200678.50,629914.50,36.12
200682.50,629914.50,29.28
200683.50,629914.50,28.58
200687.50,629914.50,37.33
200688.50,629914.50,36.90
200690.50,629914.50,35.84
200691.50,629914.50,39.31
200694.50,629914.50,42.49
200695.50,629914.50,42.47
200697.50,629914.50,44.92
200702.50,629914.50,44.47
200706.50,629914.50,41.47
200707.50,629914.50,41.57
200708.50,629914.50,41.03
200709.50,629914.50,41.50
200711.50,629914.50,42.83
200712.50,629914.50,43.33
200716.50,629914.50,38.87
200722.50,629914.50,37.08
200723.50,629914.50,37.71
200724.50,629914.50,37.18
200730.50,629914.50,31.91
200731.50,629914.50,38.38
200733.50,629914.50,29.98
200747.50,629914.50,30.07
200757.50,629914.50,30.05
200672.50,629913.50,34.05
200682.50,629913.50,31.09
200683.50,629913.50,28.66
200688.50,629913.50,37.42
200689.50,629913.50,35.87
200690.50,629913.50,36.22
200691.50,629913.50,37.98
200694.50,629913.50,42.56
200696.50,629913.50,44.64
200699.50,629913.50,45.96
